neighbourhood_cleansed,listing_id,price,adjusted_price,minimum_nights,maximum_nights,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,guests_included,new_price
Grijó e Sermonde,28980371.42867665,110.98575988215075,110.98575988215075,1.3889025288485146,775.7417137245274,41.030501750554116,-8.580662025534112,4.0967345936656026,1.553154922661429,2.1171126933464275,2.4149275718143874,55.85563466732138,22.77559538423766,3.0076110974711514,1.819297814878468,4.453148815863637
Guilhabreu,41011876.27065527,163.4188034188034,161.86894586894587,0.9971509971509972,27.92022792022792,41.294108005698156,-8.635138888888864,4.0,0.7891737891737892,2.0,3.0,315.66951566951565,0.0,0.0,0.7891737891737892,5.089196613919098
Gulpilhares e Valadares,22532429.715640355,87.84432585995086,87.7759136977887,2.7005912162162162,760.6513743857494,41.08163373425487,-8.649278908170485,4.6806280712530715,1.5529407248157248,1.992360257985258,2.823095823095823,45.735373157248155,16.112523034398034,6.889127764127764,1.8670915233415233,4.199772860598801
Junqueira,23193396.21505959,199.02600216684723,199.02600216684723,2.752979414951246,1097.3320693391115,41.19180532502573,-8.571961099675153,9.477789815817985,3.388949079089924,3.9041170097508124,7.933911159263272,349.34994582881905,43.17443120260022,7.789815817984832,4.2724810400866735,5.2188250605192685
Labruge,26723183.621813443,74.94669756662805,74.93279258400926,2.195538818076477,796.7896871378911,41.27481405272241,-8.723289212050673,4.3968713789107765,1.3293742757821552,1.5712630359212052,2.689020857473928,60.92120509849363,19.22725955967555,8.965092699884124,1.936848203939745,4.151411535374063
Lamelas e Guimarei,31399838.56317896,131.57918810748998,131.57918810748998,1.538021726700972,568.8107489994283,41.29391017152674,-8.481264253859292,3.600914808461978,1.7993138936535162,1.800457404230989,2.0,401.3722126929674,25.045740423098913,10.034305317324185,1.0,4.756911078639922
Laundos,22319413.614375357,142.92355961209356,142.92355961209356,3.1608670849971476,772.0764403879065,41.436769110096456,-8.716063354249814,7.600684540787222,3.0005704506560185,3.7997718197375927,4.399885909868797,269.82316029663434,21.990872789503708,5.995436394751854,2.598973188819167,4.928686330033998
"Lobão, Gião, Louredo e Guisande",24375367.915995397,59.66467203682394,59.6204833141542,3.5051783659378595,655.4819332566168,40.97822336478797,-8.46288424856185,6.704257767548907,2.019102416570771,3.27180667433832,3.594246260069045,58.515535097813576,29.835443037974684,6.283084004602992,1.9749136939010357,3.8920132039660946
Lomba,19090699.62887945,162.2358706305129,162.203201568115,2.4635739954263314,1111.999346618752,41.05886505716955,-8.414710594576581,5.847435478601764,2.156484808885985,2.2309702711532178,2.7690297288467822,0.0,8.72263966024175,10.958836981378635,3.7732767069585105,4.931668253989865
Lordelo,44595739.0,60.0,60.0,1.6911764705882353,1125.0,41.24218000000003,-8.410919999999994,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.094344562222097
Lordelo do Ouro e Massarelos,25135695.12167265,91.80598597444148,90.2022731077587,3.7939321787979687,747.8412606881328,41.15217405947609,-8.634778605806432,4.080141619697787,1.2938546723959399,1.5948647358271792,2.492246259541038,63.64596935706889,16.907897592341126,6.920993074027915,1.9884112427686527,4.109384838066157
Louredo,38603859.55994291,130.24643196955282,130.24643196955282,2.0613701236917223,999.907231208373,41.23746351569866,-8.34261386298791,4.331113225499524,1.4995242626070409,1.4995242626070409,3.3320647002854424,0.0,8.325404376784014,14.153187440532825,2.665080875356803,4.640274930153594
Lourosa,10028559.407407407,44.50925925925926,44.50925925925926,1.6481481481481481,879.9537037037037,40.977088148148525,-8.537168148148092,3.5925925925925926,1.0,2.2962962962962963,2.2962962962962963,0.0,9.722222222222221,7.037037037037037,1.0,3.7891279238180924
Macieira da Maia,7813957.0,70.0997150997151,70.0997150997151,3.0,1125.0,41.33791999999995,-8.683050000000058,5.0,3.0,2.0,5.0,200.0,0.0,0.0,1.0,4.220968656549781
Macieira de Cambra,27647869.37104307,108.99039958484691,108.99039958484691,2.962376751427089,1112.2729631551636,40.86118191748636,-8.373220677218695,6.818370524130773,1.7267773741567203,2.817851582771147,3.545407368967307,27.32226258432797,8.182407887908667,4.366891541255838,1.6372599896211728,4.494745659518489
Macieira de Sarnes,25667592.205673758,101.88829787234043,101.89893617021276,2.0,1113.1914893617022,40.904991914893536,-8.464466560283638,3.2411347517730498,1.0,1.0,1.0,100.0,6.205673758865248,6.205673758865248,1.6205673758865249,4.475081379066466
Madalena,22597062.053681586,82.85247407796298,82.79675810473816,2.4801155007218796,869.0993568709805,41.10495021394146,-8.654786856542628,5.414949468434178,1.5674629216432603,1.667476046725292,4.246620291376821,84.91271820448878,20.175022968893554,11.795051844074026,2.1817823861399135,4.194178499227461
Mafamude e Vilar do Paraíso,25348813.792926345,56.96168056461114,56.96800613110966,2.4265925442961236,643.1123960513823,41.12256833819171,-8.607914467130575,3.9167724740628898,1.2771467462795831,1.6169429097605894,2.27069535476934,49.0381821717397,15.540727268567768,6.696338492158814,1.7922057124555324,3.8072131810870142
Malta e Canidelo,34183166.60057061,63.316690442225394,63.30813124108417,2.7774607703281027,92.78174037089872,41.303373024251435,-8.651161069900114,3.0014265335235377,1.9985734664764623,2.499286733238231,3.499286733238231,0.0,15.00713266761769,9.985734664764623,1.4992867332382311,4.120859850861285
Mansores,21271336.8254497,127.66022651565623,127.66022651565623,2.414390406395736,941.3211192538308,40.93724192538355,-8.360541045969386,6.216522318454364,1.1705529646902064,3.0459693537641575,3.508327781479014,0.0,5.846102598267821,4.676882078614257,1.4383744170552966,4.738392936709442
Matosinhos e Leça da Palmeira,27760338.98035347,86.31616794464186,86.06437254535254,3.5341686927248923,717.230624649336,41.18348353497159,-8.690762917617947,3.7883299046194128,1.3360014961660744,1.5856274546474658,2.272180662053488,60.505086964653074,17.61715915466617,8.480680755563867,1.8779970076678512,4.050639346355688
Melres e Medas,19302462.243858237,205.4965767217076,205.3266210229561,2.7233185662505033,833.0789367700362,41.070129506643994,-8.417879822794863,8.186669351590817,3.031816351188079,3.888038662907773,4.8598469593233995,183.2460732984293,31.498187676198146,6.343133306484092,2.563834071687475,5.105144818789804
Milheirós,35637768.0,30.0,30.0,30.0,91.0,41.20998999999979,-8.59457000000005,4.0,1.0,2.0,3.0,0.0,30.0,5.0,2.0,3.4011973816621617
Milheirós de Poiares,32535179.02234637,74.94413407821229,74.94413407821229,1.0,1125.0,40.922891508379934,-8.469650726257065,4.022346368715084,1.782122905027933,1.6089385474860336,2.217877094972067,0.0,0.0,0.5586592178770949,1.0670391061452513,4.204127936148661
